npi,prescriber,specialty,total_claims,total_drug_cost,total_payment_usd
1003012931,Niceto Lopez,Internal Medicine,39,16514.42,0.0
1003043712,Igor Gorokhov,Internal Medicine,12,6532.24,0.0
1003053851,Aaron Jeng,Internal Medicine,33,21045.98,0.0
1003083031,Frances Canet,Cardiology,60,79713.11,0.0
1003131533,Neel Kapasi,Cardiology,45,39630.53,60.11
1003195686,Boris Arbit,Cardiology,96,108628.49,0.0
1003211566,Bukola Gross,Nurse Practitioner,17,11121.05,0.0
1003243262,Marin Nishimura,Cardiology,77,97344.07,183.94
1003255910,Miteshkumar Patel,Family Practice,56,16028.17,0.0
1003256546,Rajveer Sangera,Interventional Cardiology,24,27005.92,24.65
1003811746,Hennessey Tseng,Cardiology,41,53578.37,164.44
1003830191,Richard Lam,Internal Medicine,11,7389.18,16.18
1003836651,Daniel Wohlgelernter,Cardiology,35,37772.92,0.0
1003859661,Alexander Doan,Nephrology,33,41438.17,139.98
1003862376,Paul Brown,Internal Medicine,26,17345.82,41.18
1003876418,Leon Feldman,Clinical Cardiac Electrophysiology,52,78069.68,19.34
1003881889,Philip Chung,Nephrology,28,26293.7,127.75
1003893801,Theresa Thanh Nguyen,Internal Medicine,19,35827.64,44.14
1003908591,John Nelson,Cardiology,54,60919.75,151.0
1003910456,Emily Scott,Cardiology,32,42548.26,12.4
1003914227,Anna Milstein,Cardiology,795,558465.42,330.62
1003938192,Hieu Huynh,Cardiology,53,78505.12,0.0
1003942491,Steven Lome,Cardiology,14,20202.49,242.14
1003980756,Archna Sood,Internal Medicine,19,7664.64,0.0
1003980822,Kenneth Wen,Cardiology,84,105024.97,0.0
1003991159,John Kim,Family Practice,42,26808.34,0.0
1013021708,William Halliday,Internal Medicine,80,58545.76,0.0
1013022615,Alborz Hassankhani,Cardiology,173,147640.49,407.06
1013029065,Jennifer Wong,Cardiology,290,268177.77,277.02
1013083179,Mehrdad Jafarzadeh,Cardiology,59,63776.86,0.0
1013085810,Andrew Dennish,Cardiology,17,26315.27,0.0
1013114420,Wilbert Tsai,Family Practice,18,11875.16,0.0
1013150499,Raymond Zimmer,Cardiology,63,93722.19,0.0
1013152768,Martin Cadeiras,Advanced Heart Failure and Transplant Cardiology,232,234707.4,238.06
1013154400,Alidad Zadeh,Internal Medicine,47,45057.81,45.66
1013162452,Eric Hong,Cardiology,25,20717.17,446.96
1013163229,Sinan Sarsam,Cardiology,91,115666.24,14.53
1013176841,Ryan Morrissey,Internal Medicine,55,61779.79,0.0
1013176999,Neel Patel,Cardiology,54,60877.39,0.0
1013181163,Suzette Bosveld,Nurse Practitioner,16,10610.07,0.0
1013188051,Anh-Quan Nguyen,Interventional Cardiology,19,19340.87,0.0
1013193101,Brandon Itagaki,Interventional Radiology,16,26876.95,0.0
1013236330,Arismendy Nunez Garcia,Cardiology,23,25714.77,77.34
1013250463,Andy Lee,Cardiology,60,55212.19,407.49
1013276872,Tigran Khachatryan,Cardiology,186,129188.62,508.99
1013301290,Jesse Goitia,Cardiology,14,7565.26,0.0
1013328343,Gabriela Sauder,Geriatric Medicine,12,8070.0,0.0
1013352368,Michael Jesinger,Cardiology,28,36928.29,0.0
1013396118,John Paul Kelada,Family Practice,34,37464.74,174.03
1013425842,Sulman Razzaq,Interventional Cardiology,28,20733.1,0.0
1013490168,Kara Merritt,Nurse Practitioner,176,230091.2,142.11
1013513522,Shawntel Logan,Nurse Practitioner,136,124618.03,320.87
1013911049,Ashok Verma,Interventional Cardiology,223,189160.14,99.79
1013917046,Sung Choi,Interventional Cardiology,31,35732.11,0.0
1013919133,Jeffrey Brackett,Cardiology,124,131673.19,0.0
1013921253,Sandhya Venugopal,Cardiology,25,23935.65,0.0
1013931179,Jose Delgado,Family Practice,19,5787.98,0.0
1013935154,Chin Shun Shih,Cardiology,29,19889.86,0.0
1013938042,Jeannine Laramie,Family Practice,14,20709.99,172.95
1013942986,George Wesley,Interventional Cardiology,175,174287.16,220.32
1013957125,Brian Bui,Cardiology,15,19710.29,172.44
1013979673,Norman Lepor,Cardiology,72,77772.89,5178.61
1013989540,Thomas Paukert,Nephrology,16,9882.25,0.0
1013995299,Todd Hitchcock,Cardiology,41,38383.15,110.23
1023001864,Thuy Pham,General Practice,12,11407.01,0.0
1023006103,Raju Wadhwa,Internal Medicine,14,18818.41,0.0
1023021680,Stephen Arnold,Cardiology,37,26614.47,23.95
1023033107,Keyvan Shirazi,Internal Medicine,31,27206.06,0.0
1023050937,David Lim,Cardiology,99,89306.58,0.0
1023059763,Steven Forman,Interventional Cardiology,15,18526.87,180.12
1023072253,Edgar Aleman,Cardiology,64,64232.74,40.01
1023074341,Douglas Zhang,General Practice,15,10713.99,51.16
1023090867,Peter Chi,Family Practice,14,13674.15,0.0
1023095320,Jeffrey Work,Interventional Cardiology,18,18228.38,0.0
1023110301,John Bergren,Family Practice,12,8079.98,0.0
1023117413,Myunghae Choi,Cardiology,79,77141.43,72.42
1023118411,John Huebner,Physician Assistant,44,30658.92,187.98
1023121217,Charbel Aoun,Internal Medicine,20,14257.82,11.92
1023122587,Joseph Aragon,Interventional Cardiology,38,52780.53,0.0
1023122918,Kiran Pandey,Internal Medicine,70,85479.38,0.0
1023130242,Amir Rabbani,Cardiology,33,47418.28,0.0
1023131778,Deborah Heuerman,Other Clinic/Center,29,19254.3,0.0
1023164605,Christina Adams,Cardiology,42,42030.11,43.58
1023193125,Jonathan Nguyen,Internal Medicine,11,9699.12,42.14
1023196722,Brian O'kelly,Cardiology,214,257368.63,0.0
1023234812,Iglal El Henawi,General Practice,12,8070.0,22.68
1023298353,Geoffrey Yoon,Advanced Heart Failure and Transplant Cardiology,28,35215.33,0.0
1023324746,Nishith Vayada,Cardiology,34,31580.24,0.0
1023368453,Angela Smith,Nurse Practitioner,14,9443.53,0.0
1023373040,Nicholas Phreaner,Cardiology,36,52388.36,0.0
1023385283,Anjani Golive,Internal Medicine,13,8345.14,79.99
1023391166,Sohaib Tariq,Cardiology,1153,823055.77,32.41
1023435922,Dustin Lee,Cardiology,34,51433.41,0.0
1023438637,Justin Parizo,Cardiology,31,42188.87,74.22
1023452836,Haseeb Saeed,Cardiology,31,46021.75,0.0
1023495314,Nilly Shechter,Internal Medicine,16,12889.82,0.0
1023655560,Rohan Bassi,Nurse Practitioner,98,80331.88,202.2
1023685484,Pamela Grace Mondejar,Nurse Practitioner,14,13557.57,0.0
1033100045,Donna Gallik,Clinical Cardiac Electrophysiology,39,37736.44,0.0
1033100516,Bala Annadurai,Internal Medicine,56,19346.91,17.85
1033102900,Charles Sohn,Cardiology,145,155530.95,51.72
1033104724,Radha Menon,Internal Medicine,13,9089.73,0.0
1033107750,Robert Baker,Family Practice,11,11244.69,0.0
1033112313,Bahram Eslami,Cardiology,92,110550.53,0.0
1033136510,Ernest Prudente,Internal Medicine,12,3997.2,49.18
1033145701,Homayoun Sharim,Internal Medicine,216,193924.25,483.67
1033147541,David Cesario,Clinical Cardiac Electrophysiology,11,13364.52,0.0
1033150933,Vinay Keesara,Cardiology,71,55057.73,0.0
1033153101,Malvin Yan,Nephrology,64,33333.65,87.64
1033164330,Omid Vahdat,Cardiology,100,123140.5,235.01
1033173968,Daisy Manuel-Arguelles,Family Practice,16,14716.68,0.0
1033175658,Kien-An Duong,Internal Medicine,12,12950.02,0.0
1033180294,Neeraj Kochhar,Family Practice,12,8070.0,0.0
1033182951,Michael Dao,Family Practice,17,17360.79,15.0
1033191069,Vu Ta,Cardiology,127,83074.27,0.0
1033204011,Duc Tran,Osteopathic Manipulative Medicine,11,4265.91,94.21
1033219084,Robert Ladines,Internal Medicine,27,15890.31,0.0
1033253414,Sara Khan,Internal Medicine,11,7332.84,0.0
1033255021,Earl Fernando,Internal Medicine,39,49714.41,0.0
1033260195,Michael Fowler,Cardiology,187,286963.97,0.0
1033273727,Aria Dibiase,Advanced Heart Failure and Transplant Cardiology,107,94213.45,0.0
1033290887,Satinder Swaroop,Internal Medicine,18,24263.1,0.0
1033293576,Sunny Melendez,Endocrinology,24,19496.07,371.28
1033305305,Andrew Zadeh,Clinical Cardiac Electrophysiology,30,23912.14,0.0
1033318605,Keane Lee,Cardiology,81,101202.13,0.0
1033369947,Batyrjan Bulibek,Cardiology,28,24710.93,346.74
1033376017,Ranjan Ray,Advanced Heart Failure and Transplant Cardiology,22,27291.19,0.0
1033408885,Richelle Marasigan,Family Practice,11,7358.76,39.4
1033427067,Michael Aldridge,Internal Medicine,117,104252.14,0.0
1033434774,Praveen Panguluri,Cardiology,53,73479.54,0.0
1033472741,Miguel Martinez,Family Practice,14,8860.4,0.0
1033503388,Stephen Wall,Internal Medicine,14,17351.84,0.0
1033544341,Danae Wible,Physician Assistant,35,32076.17,23.98
1033640099,Alyssa Milliron,Internal Medicine,14,13219.47,0.0
1033715404,Oscar Mauriciofaguada,Physician Assistant,97,80651.9,64.79
1033760772,Kerry Wood,Nurse Practitioner,64,63409.42,170.2
1043204605,Nicolas Delapena,Infectious Disease,32,19932.54,0.0
1043219678,Josh Weng,Internal Medicine,59,62854.17,86.74
1043232085,Romany Demian,Internal Medicine,12,8156.38,0.0
1043240450,Quoc Nguyen,Internal Medicine,82,99340.7,0.0
1043244122,Thampi John,Cardiology,71,84126.99,140.9
1043244296,Gary Reznik,Cardiology,447,319893.41,251.25
1043245822,Gilbert Plasencia,Cardiology,108,85010.84,182.22
1043246531,Keshav Nayak,Interventional Cardiology,30,26841.69,0.0
1043246572,Arshia Noori,Clinical Cardiac Electrophysiology,129,130415.5,177.24
1043249642,Eric Johnson,Interventional Cardiology,66,76845.42,0.0
1043252943,Annie Le,Allergy/ Immunology,12,8070.69,0.0
1043255938,Archana Shende,Family Practice,82,62082.19,187.89
1043269145,Ngo Phan,Family Practice,37,9240.43,58.1
1043271620,Ivor Geft,Cardiology,94,87437.3,47.34
1043279037,Arlene Nepomuceno,Internal Medicine,12,8070.0,0.0
1043290778,Atul Aggarwal,Cardiology,37,63019.38,71.42
1043293079,Radhika Bukkapatnam,Cardiology,279,254362.55,0.0
1043324742,Suzanne Rizkalla,Internal Medicine,73,65355.72,123.1
1043348436,Lawrence Greenberg,Family Practice,17,2602.96,0.0
1043349772,Brett Wertman,Cardiology,41,46917.38,0.0
1043359219,Luis Navazo,Family Practice,56,25662.17,67.5
1043368053,Lisa Young,Family Medicine,17,5146.69,0.0
1043393465,Omar Perez,Internal Medicine,36,35566.81,0.0
1043396732,Christakis Christodoulou,Cardiology,103,100121.16,81.84
1043416498,Niraj Parekh,Cardiology,16,22977.81,47.05
1043425036,Rajesh Banker,Clinical Cardiac Electrophysiology,25,22882.04,133.72
1043438179,Kavita Ernst,Cardiology,123,151992.04,0.0
1043470735,Syed Latif,Cardiology,32,46969.22,0.0
1043488000,Rabia Rafi,Internal Medicine,30,29248.04,0.0
1043506348,Jan Janay,Family Practice,23,31322.91,0.0
1043534803,Phyu Phyu Lim,Internal Medicine,45,6591.92,0.0
1043560915,Kelly Piazza,Physician Assistant,68,59238.25,102.98
1043566938,Ana Bela Oliveira,Nurse Practitioner,36,50372.28,0.0
1043574403,Anushree Gupta,Family Practice,21,16847.11,0.0
1043577224,Cy Kim,Internal Medicine,38,52411.55,0.0
1043673221,Masood Younus,Internal Medicine,11,13726.63,0.0
1043698707,Steve Youssefian,Family Practice,14,20730.83,0.0
